영화명,개봉일,원개봉일,구분,세그먼트,상영상태,누적관객,개봉일좌석수,개봉일스크린수,개봉일관객수,메가최대일간스크린,평균스크린,스크린당좌석,상영주수,단독런시작,단독런종료,장르,대표국적,배급사
쇼생크 탈출,2024-05-08,1995-02-04,재개봉/구작,실사 외화,종영,46108,36526,123,5972,107,36.3,206,11,2024-04-29,2024-07-14,드라마,미국,"롯데컬처웍스(주)롯데시네마,(주)팝엔터테인먼트,THE 픽쳐스"
기동전사 건담 지쿠악스 비기닝,2025-04-02,2025-04-02,신작,애니메이션,종영,42588,53964,174,3325,173,59.8,183,10,2025-03-24,2025-06-01,애니메이션,일본,워터홀컴퍼니(주)
룸 넥스트 도어,2024-10-23,2024-10-23,신작,실사 외화,종영,42542,45842,151,1952,130,48.2,207,10,2024-10-07,2024-12-15,드라마,미국,워너브러더스 코리아(주)
극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,2023-10-19,2023-10-19,신작,애니메이션,종영,32868,10355,79,1023,79,7.5,159,48,2023-10-09,2024-09-08,애니메이션,일본,메가박스중앙(주)
엔드 오브 에반게리온,2024-01-17,2024-01-17,신작,애니메이션,종영,32443,32338,109,6323,122,46.7,207,7,2024-01-15,2024-03-03,애니메이션,일본,"(주)삼백상회,(주)라이크콘텐츠"
라이언 일병 구하기,2025-06-25,1998-09-12,재개봉/구작,실사 외화,종영,31942,38304,163,3958,160,42.7,164,10,2025-06-16,2025-08-24,"드라마,액션,전쟁",미국,와이드 릴리즈(주)
극장판 닌자보이 란타로: 도쿠타케 닌자대 최강의 군사,2025-05-14,2025-05-14,신작,애니메이션,종영,30800,31563,136,2001,135,44.6,142,10,2025-05-05,2025-07-13,애니메이션,일본,(주)디스테이션
극장판 내 마음의 위험한 녀석,2026-05-21,2026-05-21,신작,애니메이션,종영,30333,20631,115,3895,115,38.4,132,7,2026-05-18,2026-07-05,애니메이션,일본,(주)애니플러스
퍼펙트 블루,2025-09-11,2004-05-26,재개봉/구작,애니메이션,종영,28948,29900,138,4319,135,45.3,171,7,2025-09-08,2025-10-26,"애니메이션,미스터리",일본,"(주)디스테이션,(주)튜브엔터테인먼트"
짝사랑 세계,2026-06-24,2026-06-24,신작,실사 외화,종영,28548,29295,150,3562,144,42.7,153,9,2026-06-15,2026-08-16,"드라마,멜로/로맨스",일본,메가박스중앙(주)
