영화명,개봉일,누적관객수,누적매출액,스크린수,상영횟수,관측월
블루 자이언트,2023-10-18,137221,1342778658,1,2,2026-06
썸머 워즈,2009-08-13,136266,970132570,11,33,2024-12
화양연화,2000-10-20,135562,1221082018,1,1,2025-11
심야식당,2015-06-18,132870,1049818974,1,1,2024-06
마녀배달부 키키,2007-11-22,132788,1311195234,1,1,2026-07
애니멀 크래커,2020-08-05,129701,1028925740,1,1,2026-02
2046,2004-10-15,129445,856473288,12,53,2024-12
그렇게 아버지가 된다,2013-12-19,128973,983026062,1,4,2025-05
헤이트풀8,2016-01-07,125249,1032715100,1,1,2026-01
중경삼림,1995-09-02,123487,1162331269,1,1,2026-06
몬스터 패밀리 2,2023-08-02,119568,996981533,1,3,2024-02
마티 슈프림,2026-07-01,117964,1271517630,738,10730,2026-07
라 비 앙 로즈,2007-11-21,117904,784362995,1,3,2026-07
시빌 워: 분열의 시대,2024-12-31,113869,1166047390,2,2,2026-06
청춘 18X2 너에게로 이어지는 길,2024-05-22,112257,1076988964,1,2,2025-08
시간을 달리는 소녀,2007-06-14,111248,783681950,27,78,2024-12
플로리다 프로젝트,2018-03-07,110835,931557400,1,1,2026-05
당갈,2018-04-25,109980,909633500,1,2,2024-11
천공의 성 라퓨타,2004-04-30,109730,1014551980,5,22,2026-03
마지막 4중주,2013-07-25,109168,819024100,1,2,2025-11
인사이드 르윈,2014-01-29,107276,830198700,1,3,2025-06
비포 선라이즈,1996-03-30,107130,971717606,28,227,2026-07
아기상어 극장판: 사이렌 스톤의 비밀,2024-02-07,106411,939695914,2,4,2026-04
렛 미 인,2008-11-13,106018,733913370,1,2,2025-03
바닷마을 다이어리,2015-12-17,105374,865248284,1,1,2026-07
추락의 해부,2024-01-31,105134,1031436703,1,6,2026-06
일대종사,2013-08-22,102412,741457500,1,1,2026-04
"나, 다니엘 블레이크",2016-12-08,102392,775704660,1,1,2026-06
악마와의 토크쇼,2024-05-08,101253,983551800,1,4,2026-07
스노우 폭스: 썰매개가 될 거야!,2023-11-23,98023,779284216,1,1,2025-11
레이니 데이 인 뉴욕,2020-05-06,96319,849185364,1,2,2026-01
브루탈리스트,2025-02-12,95900,959223020,1,1,2026-04
본 투 비 블루,2016-06-09,95399,778447624,1,3,2025-01
너바나 더 밴드 : 전설적 밴드 ‘너바나’와는 별 관련 없는 ‘너바나 더 밴드’의 콤비 맷과 제이. 어느 날 공연을 위해 타임머신을 만드는 황당한 작전을 세우고 처음 만났던 17년 전으로 돌,2026-05-20,93914,1005675550,31,411,2026-07
태풍이 지나가고,2016-07-27,93876,779897972,1,2,2025-05
초속 5센티미터,2026-02-25,93404,892277200,1,1,2026-06
고독한 미식가 더 무비,2025-03-19,93319,861605300,5,6,2025-09
오베라는 남자,2016-05-25,92905,741754388,1,1,2025-06
"여름을 향한 터널, 이별의 출구",2023-09-14,92552,943648858,1,5,2025-03
시네마 천국,1990-07-07,92079,675751200,1,4,2026-02
미드소마,2019-07-11,91503,833290252,1,3,2026-07
드라이브 마이 카,2021-12-23,90198,852093316,1,1,2026-07
유스,2016-01-07,87312,679408100,1,3,2024-01
죽은 시인의 사회,1990-05-19,86677,704586680,62,1518,2025-02
그을린 사랑,2011-07-21,85231,688343960,1,2,2025-11
바다 탐험대 옥토넛 어보브 앤 비욘드 : 육지 넘어 하늘까지!,2023-08-10,84164,732820250,2,3,2024-01
언어의 정원,2013-08-14,84078,574785823,2,18,2026-03
프란시스 하,2014-07-17,84010,657936160,1,1,2025-08
와일드,2015-01-22,83932,669563800,1,4,2024-11
스펜서,2022-03-16,83239,783637830,1,12,2025-04
코다,2021-08-31,82565,739182749,1,1,2026-04
아무르,2012-12-19,82044,628529000,1,2,2025-11
원 챈스,2014-03-13,81426,596430060,1,2,2024-05
아르고 원정대: 꼬마 영웅 패티의 대모험,2023-09-21,79726,722954236,1,1,2025-06
센티멘탈 밸류,2026-02-18,79202,778279040,1,5,2026-07
아노라,2024-11-06,79017,781196620,1,1,2025-06
"조제, 호랑이 그리고 물고기들",2004-10-29,77483,535896236,1,2,2026-05
상자 속의 양,2026-06-10,74878,684846880,27,233,2026-07
나우이즈굿,2012-11-08,73824,507128400,24,150,2024-12
치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,73427,658252000,1,3,2024-02
시라트,2026-01-21,72363,712318730,1,4,2026-07
로봇 드림,2024-03-13,71108,693711997,3,15,2026-06
달라스 바이어스 클럽,2014-03-06,71015,535178462,1,2,2024-11
인생 후르츠,2018-12-06,70665,545552530,1,1,2025-05
패터슨,2017-12-21,70250,580453708,1,2,2026-05
크레센도,2023-12-20,70215,719122800,1,1,2025-11
애프터썬,2023-02-01,70113,682109151,1,10,2026-07
레옹,1995-02-18,69828,523736158,1,1,2024-08
노팅 힐,1999-07-03,69143,566432582,1,2,2026-02
보 이즈 어프레이드,2023-07-05,68793,685599130,1,6,2024-08
쇼생크 탈출,1995-02-04,68779,622698686,12,63,2026-04
