순위,영화명,개봉일,등급,장르,감독,배급사,다양성,개봉스크린수,최대스크린수,첫주관객,첫주말관객,2주누적,최종누적관객,배수,주말집중도,개봉일좌석수,개봉일좌석판매율,첫주말좌석수,첫주말좌석판매율,성적확정,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
154,주희에게,2026-04-15,12세이상관람가,다큐멘터리,,미디어나무(주),Y,11,20,1366,122,1404,3725,2.73,8.9,,,,,확정,155,961,90,20,12,108,20,4,4,7,4,9,4,6,1
155,비상계엄,2025-12-03,12세이상관람가,다큐멘터리,,주식회사 블루필름웍스,Y,39,39,1819,959,2715,3721,2.05,52.7,,,,,확정,598,67,286,556,117,38,157,0,1,103,676,0,66,50,0
156,생명의 은인,2025-11-05,12세이상관람가,"드라마,코미디,미스터리",방미리,(주)영화특별시에스엠씨,Y,27,27,1410,315,2159,3661,2.6,22.3,,,,,확정,961,59,38,109,168,44,31,43,581,8,80,7,12,18,5
157,은빛살구,2025-01-15,12세이상관람가,드라마,장만민,(주)마노엔터테인먼트,Y,19,25,750,367,1074,3619,4.83,48.9,,,,,확정,121,139,130,145,92,54,69,32,43,22,43,131,30,23,8
158,이어지는 땅,2024-01-10,12세이상관람가,드라마,조희영,필름다빈,Y,30,30,3022,1283,3220,3555,1.18,42.5,,,,,확정,615,576,344,487,452,189,359,15,35,13,42,62,8,23,5
159,다른 것으로 알려질 뿐이지,2025-08-27,15세이상관람가,"드라마,멜로/로맨스",조희영,영화로운 형제,Y,31,31,1487,703,2212,3487,2.34,47.3,,,,,확정,333,158,270,146,287,96,197,106,157,88,142,105,67,60,43
160,장인과 사위,2024-02-15,12세이상관람가,"코미디,드라마",최이현,주식회사 제이씨엔터웍스,Y,49,49,1432,841,1575,3467,2.42,58.7,,,,,확정,305,209,297,335,118,124,44,70,8,9,21,12,14,9,2
161,양양,2025-10-22,12세이상관람가,다큐멘터리,양주연,(주)영화사 진진,Y,30,30,826,368,1295,3451,4.18,44.6,,,,,확정,192,117,117,109,142,56,93,103,45,92,71,39,80,39,18
162,정돌이,2025-02-12,12세이상관람가,다큐멘터리,김대현,인디라인,Y,13,15,768,422,1578,3391,4.42,54.9,,,,,확정,78,62,175,70,177,41,165,63,129,52,113,296,58,99,40
163,풍기,2024-08-28,12세이상관람가,코미디,박규식,"(주)드림팩트엔터테인먼트,(주)빅브라더스",Y,48,48,1286,527,1784,3386,2.63,41.0,,,,,확정,402,155,126,241,160,103,99,30,81,73,93,87,44,90,85
