영화명,개봉일,누적관객수,누적매출액,스크린수,상영횟수,관측월
"결혼, 하겠나?",2024-10-23,8711,77999500,1,19,2025-05
남태령,2026-05-20,8664,78059150,4,25,2026-07
약속,2023-11-01,8544,75363608,1,1,2026-01
기타맨,2025-05-30,8520,67781500,53,319,2025-06
같은 속옷을 입는 두 여자,2022-11-10,8503,76864892,1,1,2025-09
성적표의 김민영,2022-09-08,8439,78904161,1,1,2025-10
고양이를 부탁해,2001-10-12,8311,80110990,1,8,2026-04
박서방,1960-10-05,8310,17219500,1,4,2026-01
광장,2026-01-15,8305,67646830,1,2,2026-04
달팽이 농구단,2025-11-12,8137,66769300,1,1,2026-03
스프린터,2023-05-24,8081,66287980,1,1,2024-05
쥬라기캅스 극장판: 전설의 고대생물을 찾아라,2024-08-15,8073,69695998,10,44,2024-09
생츄어리,2024-06-12,8058,66268578,1,1,2025-10
아네모네,2024-02-07,7968,66089351,1,26,2026-06
엄마의 땅: 그리샤와 숲의 주인,2023-01-25,7962,72933889,1,1,2024-01
환상속의 그대,2013-05-16,7922,54600700,1,1,2025-11
최소한의 선의,2024-10-30,7867,65313300,1,3,2025-09
여성국극 끊어질듯 이어지고 사라질듯 영원하다,2025-03-19,7865,64710500,1,17,2025-10
휴가,2021-10-21,7802,56887350,1,2,2025-09
쇼타씨의 마지막 출장,2026-05-27,7788,75250400,8,88,2026-07
어른도감,2018-08-23,7721,56968700,1,1,2026-03
잡식가족의 딜레마,2015-05-07,7661,53610300,1,1,2026-07
되살아나는 목소리,2024-11-13,7654,64061100,1,1,2025-09
연산군,1962-01-01,7643,15703000,1,1,2026-03
충충충,2026-06-17,7608,70334120,23,262,2026-07
풀잎들,2018-10-25,7594,61651250,1,1,2026-07
보희와 녹양,2019-05-29,7551,59803000,1,1,2026-03
종이꽃,2020-10-22,7518,62895310,1,1,2026-03
수유천,2024-09-18,7507,69882800,1,7,2025-10
"오빠, 남진",2024-09-04,7501,58624800,1,1,2025-07
장기자랑,2023-04-05,7479,70709195,1,1,2024-04
교토에서 온 편지,2023-12-06,7423,62743197,1,1,2025-07
동심초,,7230,14549000,1,6,2026-02
미스 프레지던트,2017-10-26,7204,46789500,1,15,2024-09
그 여름날의 거짓말,2024-08-28,6948,55298756,1,1,2024-11
다우렌의 결혼,2024-06-12,6895,57776500,1,1,2025-06
누룩,2026-04-15,6886,53572970,2,4,2026-07
빙점 '81,1981-04-18,6874,13857000,1,6,2026-04
고양이들의 아파트,2022-03-17,6802,59239970,1,1,2025-08
조선인 여공의 노래,2024-08-07,6679,57329900,1,23,2025-08
미스매치,2026-04-23,6673,54826750,1,1,2026-07
