날짜,순위,영화명,개봉일,관객수,관객수증감,누적관객수,매출액,매출점유율,매출액증감,누적매출액,스크린수,상영횟수,좌석수,좌석판매율,좌석점유율
2026-07-09,2,눈동자,2026-06-24,"38,125","-12,393 (-24.5%)","1,019,447","397,856,450",27.2%,"-76,150,390 (-16.1%)","10,298,274,810",960,"3,499","436,394",8.7%,23.0%
2026-07-09,7,마티 슈프림,2026-07-01,"2,737","-1,020 (-27.1%)","87,805","30,434,700",2.1%,"-6,302,150 (-17.2%)","920,866,410",204,235,,,
2026-07-09,1,모아나,2026-07-08,"39,829","-26,974 (-40.4%)","107,256","438,813,800",30.0%,"-227,758,650 (-34.2%)","1,115,994,250","1,349","4,933","763,921",5.2%,40.2%
2026-07-09,10,백룸,2026-05-27,"1,319",-644 (-32.8%),"1,200,882","15,213,850",1.0%,"-4,359,650 (-22.3%)","12,813,352,960",107,142,,,
2026-07-09,5,와일드 씽,2026-06-03,"3,642",-576 (-13.7%),"1,320,912","30,309,300",2.1%,"-5,636,550 (-15.7%)","12,765,516,390",346,496,"52,333",7.0%,2.8%
2026-07-09,9,키퍼,2026-07-08,"1,491",-457 (-23.5%),"3,439","10,121,950",0.7%,"-3,306,950 (-24.6%)","23,550,850",99,175,,,
2026-07-09,3,토이 스토리 5,2026-06-17,"24,629","-9,720 (-28.3%)","2,341,803","254,310,790",17.4%,"-63,272,760 (-19.9%)","23,976,415,960",756,"2,288","289,563",8.5%,15.3%
2026-07-09,8,하나 코리아,2026-07-08,"2,136",-364 (-14.6%),"6,265","17,812,050",1.2%,"-3,319,800 (-15.7%)","57,703,800",146,204,,,
2026-07-10,5,군체,2026-05-21,"7,837",456 (6.2%),"5,885,151","87,793,600",4.1%,"9,979,010 (12.8%)","61,942,131,730",501,789,"89,435",8.8%,4.4%
2026-07-10,8,그린랜드 2: 마이그레이션,2026-07-01,"2,819",-193 (-6.4%),"48,534","25,785,900",1.2%,"-740,300 (-2.8%)","459,596,650",136,162,"19,287",14.6%,1.0%
2026-07-10,2,눈동자,2026-06-24,"50,730","12,605 (33.1%)","1,070,177","556,516,060",26.1%,"158,659,610 (39.9%)","10,854,790,870",956,"3,476","433,043",11.7%,21.2%
2026-07-10,4,다윗,2026-07-10,"7,841","7,095 (951.1%)","25,635","82,005,220",3.8%,"75,527,220 (1,165.9%)","235,399,620",547,"1,192",,,
2026-07-10,7,마티 슈프림,2026-07-01,"3,526",789 (28.8%),"91,331","39,670,100",1.9%,"9,235,400 (30.3%)","960,536,510",202,231,,,
2026-07-10,1,모아나,2026-07-08,"58,788","18,959 (47.6%)","166,044","677,494,980",31.7%,"238,681,180 (54.4%)","1,793,489,230","1,329","5,091","796,834",7.4%,39.1%
2026-07-10,10,백룸,2026-05-27,"1,807",488 (37.0%),"1,202,689","22,060,900",1.0%,"6,847,050 (45.0%)","12,835,413,860",126,154,,,
2026-07-10,6,와일드 씽,2026-06-03,"3,787",145 (4.0%),"1,324,699","33,009,550",1.5%,"2,700,250 (8.9%)","12,798,525,940",318,434,"47,259",8.0%,2.3%
2026-07-10,3,토이 스토리 5,2026-06-17,"36,305","11,676 (47.4%)","2,378,108","382,208,530",17.9%,"127,897,740 (50.3%)","24,358,624,490",745,"2,290","292,706",12.4%,14.4%
2026-07-10,9,하나 코리아,2026-07-08,"2,139",3 (0.1%),"8,404","19,328,800",0.9%,"1,516,750 (8.5%)","77,032,600",140,192,,,
2026-07-11,5,군체,2026-05-21,"15,644","7,807 (99.6%)","5,900,794","175,498,700",3.3%,"87,705,100 (99.9%)","62,117,619,430",517,777,"86,985",18.0%,3.8%
2026-07-11,7,극장판 도라에몽: 신 진구의 해저비밀성,2026-07-01,"5,580","4,376 (363.5%)","52,270","58,551,550",1.1%,"45,328,050 (342.8%)","490,319,400",199,347,"43,199",12.9%,1.9%
2026-07-11,2,눈동자,2026-06-24,"111,500","60,770 (119.8%)","1,181,677","1,215,593,510",22.6%,"659,077,450 (118.4%)","12,070,384,380","1,026","3,833","482,525",23.1%,21.0%
