순위,영화명,개봉일,등급,장르,감독,배급사,다양성,개봉스크린수,최대스크린수,첫주관객,첫주말관객,2주누적,최종누적관객,배수,주말집중도,개봉일좌석수,개봉일좌석판매율,첫주말좌석수,첫주말좌석판매율,성적확정,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
416,정뱅이,2026-06-24,전체관람가,다큐멘터리,오정훈,미디어나무(주),Y,10,10,774,103,1176,2200,2.84,13.3,,,,,,535,85,83,15,5,42,9,42,1,3,98,3,0,255,0
417,망국전쟁 : 뉴라이트의 시작,2025-07-23,12세이상관람가,다큐멘터리,구진형,주식회사 한류역사문화티브이,,28,28,541,200,808,2136,3.95,37.0,,,,,확정,132,63,49,72,79,65,81,9,5,5,9,25,3,211,0
418,7인의 황후,2025-02-26,15세이상관람가,"코미디,드라마",신철승,(주)드림팩트엔터테인먼트,,5,5,1557,935,1557,2122,1.36,60.1,,,,,확정,318,304,317,310,308,0,0,0,0,0,0,0,0,0,0
419,스즈메의 문단속-하이라이트 필름콘서트,2025-03-26,12세이상관람가,애니메이션,,"씨제이포디플렉스 주식회사,씨제이 씨지브이(CJ CGV)(주)",,28,28,1989,869,2122,2122,1.07,43.7,,,,,확정,634,244,223,406,240,116,126,28,17,12,22,29,9,16,0
420,귀신들,2025-04-09,12세이상관람가,"SF,드라마",황승재,영화로운 형제,Y,34,40,919,449,1298,2096,2.28,48.9,,,,,확정,141,204,125,209,115,60,65,18,50,113,160,17,9,12,8
421,송송송 가족여행 : 전기차 지구횡단,2025-09-10,전체관람가,"다큐멘터리,어드벤처,가족",송진욱,어쩌다 필름,Y,23,23,637,327,1027,2094,3.29,51.3,,,,,확정,125,82,43,140,144,38,65,136,129,58,33,19,10,5,1
422,씨앗의 시간,2024-11-20,전체관람가,다큐멘터리,설수안,필름다빈,Y,13,13,601,523,730,2026,3.37,87.0,,,,,확정,21,16,234,215,74,15,26,44,16,11,25,10,11,12,3
423,나는 갱년기다,2026-01-21,12세이상관람가,드라마,조연진,(주)이놀미디어,Y,15,17,1429,813,1655,2011,1.41,56.9,,,,,확정,290,189,368,358,87,37,100,25,88,22,19,28,25,19,3
424,연극 빵야,2025-03-26,12세이상관람가,공연,,씨제이 씨지브이(CJ CGV)(주),,10,11,1375,548,1991,1991,1.45,39.9,,,,,확정,247,359,148,223,177,129,92,43,59,62,115,112,58,167,0
425,샤인,2024-07-31,12세이상관람가,"드라마,가족",박석영,㈜인디스토리,Y,28,31,825,409,1128,1982,2.4,49.6,,,,,확정,137,94,180,108,121,97,88,45,54,40,21,42,37,64,26
426,현재를 위하여,2026-06-17,15세이상관람가,드라마,김다솜,(주)21스튜디오,Y,28,28,756,295,1029,1971,2.61,39.0,,,,,확정,239,89,147,108,40,58,75,31,45,30,59,21,46,41,5
427,에이티즈 에이 투 지 온 스크린,2025-10-23,전체관람가,공연,,씨지브이 아이스콘,,12,12,1953,0,1953,1953,1.0,0.0,,,,,확정,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,수학영재 형주,2025-10-15,12세이상관람가,드라마,최창환,㈜인디스토리,Y,32,33,582,279,957,1948,3.35,47.9,,,,,확정,93,52,106,80,93,83,75,17,39,166,38,36,33,46,28
429,어브로드,2025-06-11,15세이상관람가,"미스터리,드라마,스릴러",지오바니 푸무,스튜디오 에이드,Y,39,39,870,486,1125,1946,2.24,55.9,,,,,확정,136,75,133,129,224,85,88,29,24,25,16,89,16,56,8
430,에스퍼의 빛,2025-11-05,12세이상관람가,"다큐멘터리,판타지,어드벤처",정재훈,시네마토그래프,Y,20,20,432,206,715,1941,4.49,47.7,,,,,확정,94,34,43,89,74,53,45,38,59,30,38,64,33,21,16
431,종이 울리는 순간,2025-11-12,전체관람가,다큐멘터리,"김주영,코메일 소헤일리",(주)시네마달,Y,15,17,265,158,449,1936,7.31,59.6,,,,,확정,33,31,18,50,90,24,19,17,23,38,29,67,1,9,20
432,바얌섬,2025-10-29,15세이상관람가,"미스터리,판타지",김유민,필름다빈,Y,21,26,634,342,821,1892,2.98,53.9,,,,,확정,97,66,54,170,118,44,85,18,7,30,55,28,28,21,7
433,투 헤븐,2025-11-05,전체관람가,다큐멘터리,김상철,파이오니아21,Y,13,13,497,273,708,1889,3.8,54.9,,,,,확정,134,43,40,125,108,25,22,5,2,0,100,100,0,4,0
434,허밍,2026-02-04,15세이상관람가,드라마,이승재,"주식회사 씨엠닉스,오카피필름",Y,9,9,351,111,556,1836,5.23,31.6,,,,,확정,15,58,25,5,81,60,107,93,73,4,31,3,1,0,1
435,만담,2025-02-05,12세이상관람가,공연,조승식,씨지브이 아이스콘,,27,28,1421,936,1584,1834,1.29,65.9,,,,,확정,336,60,71,442,423,35,54,14,23,33,17,44,17,15,7
436,대치동 스캔들,2024-06-19,15세이상관람가,"드라마,멜로/로맨스",김수인,(주)스마일이엔티,Y,62,71,1315,562,1407,1797,1.37,42.7,,,,,확정,258,246,271,134,157,130,119,19,2,15,19,14,11,12,0
437,2024 태민 월드 투어 [이페머럴 게이즈],2025-07-18,전체관람가,공연,,씨제이 씨지브이(CJ CGV)(주),,8,8,1759,1759,1759,1759,1.0,100.0,,,,,확정,827,497,435,0,0,0,0,0,0,0,0,0,0,0,0
438,늦더위,2024-05-22,12세이상관람가,드라마,서한솔,필름다빈,Y,21,23,566,368,743,1741,3.08,65.0,,,,,확정,65,39,41,116,211,34,60,16,12,15,28,38,28,40,6
439,내가 누워있을 때,2025-05-28,12세이상관람가,드라마,최정문,(주)시네마달,Y,18,25,475,244,609,1727,3.64,51.4,,,,,확정,64,65,121,47,76,34,68,10,18,13,47,21,14,11,8
