영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우
정당화된 부도덕한 정사,2025-11-21,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
제27회 부산독립영화제 로컬투로컬 1,,한국,한국,,,,"드라마,다큐멘터리",,
죄책감 없는 사무실 불륜 섹스,2025-11-21,일본,일본,,(주)씨맥스커뮤니케이션즈,청소년관람불가,성인물(에로),,
지리는 여대생:가슴이 성감대,2025-11-21,일본,일본,,(주)영진크리에이티브,청소년관람불가,성인물(에로),,
처형이 이상한 기분에 흠뻑 젖은팬티 벗기기,2025-11-17,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
친구도 탐낸 아내의 가랑이,2025-11-21,일본,일본,,(주)씨맥스커뮤니케이션즈,청소년관람불가,성인물(에로),,
탈옥녀의 용서없는 인질정사,2025-11-18,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
풍만가슴 장모님의 란제리에 발기,2025-11-17,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
현란한 기술에 벌어진 여교사,2025-11-21,일본,일본,,(주)씨맥스커뮤니케이션즈,청소년관람불가,성인물(에로),,
윗집 사람들,2025-12-03,한국,한국,"(주)싸이더스,워크하우스컴퍼니(주)",(주)바이포엠스튜디오,청소년관람불가,"드라마,코미디",하정우,"하정우,공효진,김동욱,이하늬"
극장판 주술회전: 시부야사변 X 사멸회유,2025-12-03,일본,일본,,메가박스중앙(주),15세이상관람가,애니메이션,고쇼조노 쇼타,
죄의 목소리,2025-11-28,일본,일본,,(주)플레이그램,15세이상관람가,드라마,도이 노부히로,"오구리 슌,호시노 겐,마츠시게 유타카,이치카와 미카코"
극장판 나와 로보코,2025-11-26,일본,일본,,에스엠지홀딩스 주식회사,12세이상관람가,애니메이션,다이치 아키타로,
비상계엄,2025-12-03,한국,한국,,주식회사 블루필름웍스,12세이상관람가,다큐멘터리,,안내상
콘크리트 마켓,2025-12-03,한국,한국,"클라이맥스 스튜디오(주),(주)앤드마크",롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,드라마,홍기원,"이재인,백유성,홍경,정만식,유수빈,김국희,최정운"
고당도,2025-12-10,한국,한국,"잉크,(주)21스튜디오",(주)트리플픽쳐스,15세이상관람가,"드라마,범죄",권용재,"강말금,봉태규,장리우,정순범,양말복"
뽀로로 극장판 스위트캐슬 대모험,2025-12-11,한국,한국,(주)오콘,"롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데시네마",전체관람가,애니메이션,천유림,"이선,이미자,김현지,홍소영,정미숙,김서영,김환진,한신,엄상현,윤용식,김다올,유 영,미나리"
컴 앤 씨,,러시아,러시아,,,,기타,,
홍어의 역습,2025-12-10,한국,한국,㈜리필름,시네마 뉴원,12세이상관람가,코미디,이수성,"오승희,이선정,김수미"
바늘을 든 소녀,2025-12-10,덴마크,덴마크,,"그린나래미디어(주),(주)레드아이스 엔터테인먼트",15세이상관람가,드라마,매그너스 본 혼,"빅 카르멘 손네,트린 디어홈"
시라트,2026-01-21,스페인,스페인,,(주)레드아이스 엔터테인먼트,15세이상관람가,드라마,올리베르 라셰,세르지 로페즈
이반의 어린 시절,,러시아,러시아,,,,"드라마,전쟁",안드레이 타르코프스키,"니콜라이 부릴야예프,발렌틴 주브코프,예브게니 자리코프"
"거짓말, 뱀파이어가 어디 있어?",,한국,한국,,,,드라마,,
터미널 포인트,2025-11-27,미국,미국,,(주)스튜디오디에이치엘,15세이상관람가,"액션,스릴러",브랜던 슬래글,
누벨바그,2025-12-31,프랑스,프랑스,,메가박스중앙(주),12세이상관람가,드라마,리차드 링클레이터,
프레디의 피자가게 2,2025-12-03,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"공포(호러),스릴러",엠마 타미,"조쉬 허처슨,엘리자베스 라일,파이퍼 루비오"
고양,,러시아,러시아,,,,드라마,,
5.18 힌츠페터 스토리,2018-05-17,한국,한국,KBS,(주)드림팩트엔터테인먼트,12세이상관람가,다큐멘터리,장영주,"위르겐 힌츠페터,조성하,김승필,장영주"
코리아,2012-05-03,한국,한국,"(주)더타워픽쳐스,(주)씨제이이엔엠,(주)웰메이드스타엠",(주)씨제이이엔엠,12세이상관람가,드라마,문현성,"하지원,배두나,한예리,최윤영,박철민,김응수,오정세,이종석,박영서,박정학,허승,홍혜림,박지연,유영기,천우희,주영호,김재화,김원해,이한위,김인우,장리우,이주실,권태원,박지연,권은수,차청화,한사명,이정민,이언수,척재희"
힌드의 목소리,2026-04-15,프랑스,프랑스,,TCO(주)더콘텐츠온,15세이상관람가,드라마,,
"귀향, 끝나지 않은 이야기",2017-09-14,한국,한국,주식회사 제이오엔터테인먼트코리아,커넥트픽쳐스(주),15세이상관람가,"드라마,다큐멘터리",조정래,"박지희,김원주,강하나,서미지,홍세나,김시은,남상지,최리,정무성,류신,임성철,이승현,오지혜,정인기,김민수,박주현,박진경,안재성,장현익,정부경,정세연,정승현,윤혜영,이경훈,이수현,이승현,이여원,이옥선,이용수,이유진,함현상,이재혁,이지은,이지은,이채현,김은나,김은나,이지수"
슈퍼 해피 포에버,2025-12-24,일본,일본,,"찬란,(주)하이스트레인저",12세이상관람가,드라마,이가라시 코헤이,"사노 히로키,미야타 요시노리,야마모토 나이루"
[인디스페이스X원모어핑크] The Love Screening 더럽 섹션 3,,기타,기타,,,,다큐멘터리,,
문맨,2023-01-11,중국,중국,,(주)스튜디오디에이치엘,12세이상관람가,"드라마,코미디,판타지",장츠위,"선텅,마리"
증기기관차와 바이올린,,러시아,러시아,,,,드라마,안드레이 타르코프스키,
