영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우
제3회 반짝다큐페스티발 섹션4,,한국,한국,,,,다큐멘터리,,
일요일의 사람들,,독일,독일,,,,드라마,로버트 시오드막,
제3회 반짝다큐페스티발 섹션1,,한국,한국,,,,다큐멘터리,,
제3회 반짝다큐페스티발 섹션7,,한국,한국,,,,다큐멘터리,,
제3회 반짝다큐페스티발 섹션3,,한국,한국,,,,다큐멘터리,,
파드레파드로네,,이탈리아,이탈리아,,,,드라마,"비토리오 타비아니,파올로 타비아니",
알제리 전투,2009-10-15,이탈리아,"이탈리아,기타",,실버스푼,15세이상관람가,"전쟁,드라마",질로 폰테코르보,"브라힘 하기아그,장 마틴"
제3회 반짝다큐페스티발 섹션2,,한국,한국,,,,"드라마,다큐멘터리",,
로렌조의 밤,2005-08-19,이탈리아,이탈리아,라디오텔레비지오네 이탈리아나,㈜영화사 백두대간,15세관람가,드라마,"파올로 타비아니,비토리오 타비아니","오메로 안토누티,마가리타 로자노"
카오스,,이탈리아,이탈리아,,,,코미디,"파올로 타비아니,비토리오 타비아니","마가리타 로자노,카를로 카티에르"
갈릴리에서의 결혼,,벨기에,"벨기에,프랑스,서독",,,,드라마,,
알롱상팡,,이탈리아,이탈리아,,,,드라마,"파올로 타비아니,비토리오 타비아니","마르첼로 마스트로얀니,레아 마사리"
피,,포르투갈,포르투갈,,,,"드라마,미스터리",페드로 코스타,페드로 헤스트네스
더블 슬릿,,한국,한국,,,,"다큐멘터리,기타",,
로마 위드 러브,2013-04-18,미국,"미국,이탈리아,스페인",,"(주)엔케이컨텐츠,(주)팝엔터테인먼트,(주)나이너스엔터테인먼트",청소년관람불가,코미디,우디 알렌,"제시 아이젠버그,엘렌 페이지,알렉 볼드윈,페넬로페 크루즈,로베르토 베니니,그레타 거윅,우디 알렌"
루징 그라운드,,미국,미국,,,,"코미디,드라마",,
아름다운 소녀,,러시아,러시아,,,,"드라마,가족",,
오베라는 남자,2016-05-25,스웨덴,스웨덴,,"(주)싸이더스,(주)디스테이션",12세이상관람가,드라마,하네스 홀름,"롤프 라스가드,바하르 파르스,필립 버그,이다 엥볼"
잊혀진 선조들의 그림자,,소련,소련,,,,"드라마,멜로/로맨스",세르게이 파라자노프,
파라다이스: 호프,,오스트리아,"오스트리아 ,프랑스,독일",,,,드라마,울리히 세이들,
델타 보이즈,2017-06-08,한국,한국,,㈜인디스토리,15세이상관람가,"드라마,코미디",고봉수,"백승환,이웅빈,신민재,김충길,윤지혜,김소영,김정기,고성완"
"(로컬 픽, 시간과 빛) 관찰자들",,한국,한국,,,,기타,,
이노센스,,프랑스,"프랑스,벨기에,영국",,,,"드라마,미스터리",뤼실 하지할릴러비치,조 오클래어
고통,,스웨덴,스웨덴,,,,드라마,알프 셰베리,"스티그 제럴,알프 카제린"
"쿨레 밤페, 혹은 세상은 누구의 것인가?",,독일,독일,,,,드라마,,
성 미켈레의 수탉,,이탈리아,이탈리아,,,,드라마,"파올로 타비아니,비토리오 타비아니","지울리오 브로지,다니엘 더블리노"
외로운 아이의 연대기,,아르헨티나,아르헨티나,,,,드라마,레오나르도 파비오,
지붕,,이탈리아,이탈리아,,,,드라마,비토리오 데 시카,"지오지아 리추찌,가브리엘라 팔로타,가스톤 렌젤리"
4.7미터 - 샤크3,,미국,미국,,(주)제이앤씨미디어그룹,15세이상관람가,"액션,스릴러",,
내 학생의 엄마 7,,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,,
매일 새아들을 세우고 있어요 무삭제판,2025-05-30,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",,
맥스퓨리,,미국,미국,,(주)제이앤씨미디어그룹,12세이상관람가,액션,,
몰래하는 섹스의 맛,,한국,한국,(주)영화사가을,,청소년관람불가,멜로/로맨스,,
미안하다 사정했다 무삭제판,2025-05-30,한국,한국,(주)파랑새미디어,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",이타치,
욕정 여상사의 회사생활 무삭제판,2025-05-30,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",,
유부녀 몸수발-잠든남편 옆 남편상사와,2025-05-30,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",,
적극적인 영계 나츠의 AV체험기,2025-05-30,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",,
노란 옷을 입은 소녀,,기타,기타,,,,드라마,,
니캡,2025-06-18,아일랜드,"아일랜드,영국",,필름다빈,청소년관람불가,코미디,,"마이클 패스벤더,시모네 커비"
마을을 지켜라!,,기타,기타,,,,드라마,,
마흐무드의 복사 가게,,이집트,이집트,,,,드라마,,
뮤직&댄스 온 스크린 Vol.2 - 섹션2,,한국,한국,,,,기타,,
뮤직&댄스 온 스크린 Vol.2 - 섹션4,,한국,한국,,,,기타,,
어부와 말하는 물고기,,기타,기타,,,,드라마,,
여자들,,기타,기타,,,,드라마,,
예언,,기타,"기타,벨기에,네덜란드",,,,드라마,,
오티스와 아피,,케냐,케냐,,,,드라마,,
작은 행복,,모로코,모로코,,,,드라마,,
전사 루탄도,,기타,기타,,,,드라마,,
제3회 반짝다큐페스티발 개막식,,기타,기타,,,,드라마,,
제8회 전주가족영화제 개막작,,한국,한국,,,,드라마,,
제8회 전주가족영화제 김소형 감독전,,한국,한국,,,,"드라마,코미디",김소형,
제8회 전주가족영화제 대가족섹션,,한국,한국,,,,드라마,,
제8회 전주가족영화제 온가족섹션,,한국,한국,,,,드라마,,
제8회 전주가족영화제 전가족섹션,,한국,한국,,,,드라마,,
제8회 전주가족영화제 핵가족섹션,,한국,한국,,,,드라마,,
극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,2021-09-15,일본,일본,,(주)씨제이이엔엠,전체관람가,애니메이션,쿄고쿠 타카히코,"박영남,김환진,강희선,여민정,정유미,강새봄,정혜옥,시영준"
인피니트 15주년 콘서트 리미티드 에디션 더 무비,2025-06-11,한국,한국,,씨지브이 아이스콘,전체관람가,공연,손석,"김성규,장동우,남우현,이성열,엘,이성종"
단다단: 사안,,일본,일본,,(주)애니플러스,,애니메이션,,"하나에 나츠키,와카야마 시온"
태양의 노래,2025-06-11,한국,한국,(주)케이무비스튜디오,(주)바이포엠스튜디오,12세이상관람가,드라마,조영준,"정지소,차학연,정웅인,진경,권한솔,강진경,김성균,지승현,김영재,김현철,박수현,남명렬,정인지,고영찬,송창규,진용욱,김주황,유영섭,이소윤,윤부진,박상후,고훈목,방상환,문종태,문지환,윤희락,양해준,이수연"
너를 찾을꺼야,,미국,미국,,,,멜로/로맨스,웨슬리 러글즈,"클라크 게이블,라나 터너"
홈 타운 스토리,,미국,미국,,,,드라마,아서 피어슨,"제프리 린,도날드 크리스프,마조리 레이놀드"
극장판 블리치 : 페이드 투 블랙,2025-06-06,일본,일본,,에스엠지홀딩스 주식회사,12세이상관람가,애니메이션,아베 노리유키,"모리타 마사카즈,오리카사 푸미코,마도노 미츠아키"
2035: 더 그린라이트,2025-06-04,한국,한국,어퍼컷픽쳐스,유한회사 스튜디오 획,15세이상관람가,"미스터리,스릴러",박재인,"오태경,유일한,기주봉,정인기"
어젠다 2: 기만의 고수들,,미국,미국,,,,다큐멘터리,,
풍운의 젠다성,,미국,미국,,,,어드벤처,리처드 소프,"스튜어트 그랜저,데보라 카"
알.엠.엔,,루마니아,"루마니아,프랑스",,,,드라마,크리스티안 문쥬,
모두가 왕의 부하들,,미국,미국,,,,드라마,로버트 로즌,"브로데릭 크로포드,존 아일랜드,조안나 드루"
왕의 남자,2005-12-29,한국,한국,"(주)씨네월드,(주)이글픽쳐스",(주)시네마서비스,15세이상관람가,드라마,이준익,"감우성,이준기,유해진,정진영,강성연,이동수,김주홍,장항선,정석용,박영수,이건우,이동헌,유효정,윤준식,박성호,김윤정,신정근,우현,정대용,최일화,윤주상"
제92회 작은영화영화제 - 주위를 둘러싼 가장 친밀한 것들,,한국,한국,,,,드라마,,
필리핀 가족의 진화 (part 1),,필리핀,필리핀,,,,드라마,라브 디아즈,
우드 잡!,,일본,일본,,,12세이상관람가,"코미디,드라마",야구치 시노부,
흑수선,2001-11-15,한국,한국,(주)태원엔터테인먼트,(주)시네마서비스,12세관람가,액션,배창호,"이미연,이정재,안성기,정준호,이현경,이대연,이기영,강성진,전원주,김서현,김윤태,최지혜,이화진,윤상현,임현균,임병동,김진애,김준배,유재명,김상호,신문성"
매직 판타지 콘서트,,덴마크,덴마크,,,,공연,,"크리스티안 슈만,데이빗 바테손,투바 세밍센,카산드라 르모인,비욘 피에스타드"
아나이스 인 러브,2022-10-13,프랑스,프랑스,,해피송,15세이상관람가,멜로/로맨스,,"아나이스 드무스티에,발레리아 브루니 테데스키"
필리핀 가족의 진화 (part 2),,필리핀,필리핀,,,,드라마,라브 디아즈,
헤스터 스트리트,,미국,미국,,,,"드라마,멜로/로맨스",조안 미클린 실버,
아내보다 확 쪼이는 형수님,2025-06-06,한국,한국,(주)씨맥스커뮤니케이션즈,(주)씨맥스커뮤니케이션즈,청소년관람불가,성인물(에로),,
아르고 원정대: 꼬마 영웅 패티의 대모험,2023-09-21,프랑스,프랑스,,(주)스튜디오디에이치엘,전체관람가,애니메이션,"다비드 알로,에릭 토스티",
6월에는 유연하게 바라볼 것 (섹션 1),,한국,한국,,,,기타,,
굶주린 생과부-질펀한 마사지,2025-06-04,일본,일본,,(주)파랑새미디어,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",,
남편 몰래 첫사랑과 떡치는 유부녀,2025-06-02,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",,
대물 손님과 어린 출장녀,2025-06-03,한국,한국,,주식회사 피에스앤제이,청소년관람불가,성인물(에로),,
레오노라 아디오,,이탈리아,"이탈리아,영국,독일",,,,드라마,파올로 타비아니,
리포터 출신 유부녀의 AV체험기,2025-06-03,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",,
"미친 사랑 : 형수, 며느리, 친구엄마",,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,,
새엄마는 여관발이,2025-06-03,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",,
숨 넘어가는 여자들,,한국,한국,(주)영화사가을,,청소년관람불가,멜로/로맨스,,
야설일기-엄청 흥분한 유부녀,2025-06-04,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",,
엄청 흥분하는 형수의 섹스영상,2025-06-02,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",,
자궁 특별진료,2025-06-03,일본,일본,,(주)파랑새미디어,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",,
직장 선배의 사모님과 친구 애인,2025-06-03,일본,일본,,(주)파랑새미디어,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",,
후배 아내 물이 참 많더라 무삭제판,2025-06-02,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",,
강원도의 힘,1998-04-04,한국,한국,미라신코리아(주),,18세 미만인 자는 관람할 수 없는 등급,드라마,홍상수,"김유석,백종학,박정화,임선영,오윤홍,박현영,박현영"
장미빛 인생,1994-08-06,한국,한국,태흥영화(주),,연소자관람불가,드라마,김홍준,"김은숙,최종원,최재성,차광수,최명길"
어네스트와 셀레스틴: 멜로디 소동,2025-06-11,프랑스,프랑스,,"(주)영화사 진진,(주)하이스트레인저",전체관람가,애니메이션,,
엘리오,2025-06-18,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,"도미 시,매들린 샤라피안,아드리안 몰리나","조 샐다나,요나스 키브레브,레미 에저리,브래드 가렛,자밀라 자밀,셜리 헨더슨,류승룡"
악의 도시,2025-06-20,한국,한국,,(주)영화특별시에스엠씨,15세이상관람가,스릴러,현우성,"현우성,한채영,장의수"
안경,,한국,한국,유엠아이웍스 주식회사,,전체관람가,애니메이션,정유미,
파라노이드 키드,,한국,한국,유엠아이웍스 주식회사,,전체관람가,애니메이션,정유미,배두나
위장수사,2025-06-27,몽고,몽고,,"(주)스마일이엔티,주식회사 블루필름웍스",15세이상관람가,"범죄,코미디",,"윤제문,수크볼드 라그차바자르,간바야르 샤바크체른,니얌땀바 바이샤,수크바타르 바트조리고,오란처크트 처크턱바야르,기주봉,서은지,K. 만라이바타르,박호준"
오하루의 일생,,일본,일본,,,,드라마,미조구치 겐지,"다나카 키누요,미후네 토시로"
퀸메리호: 저주받은 항해,2025-06-13,미국,미국,,그린나래미디어(주),15세이상관람가,"미스터리,공포(호러)",개리 쇼어,"앨리스 이브,조엘 프라이"
너의 결혼식,2018-08-22,한국,한국,"(주)필름케이,(주)외유내강",메가박스중앙(주) 플러스엠 엔터테인먼트,12세이상관람가,멜로/로맨스,이석근,"박보영,김영광,강기영,장성범,고규필,서은수,차엽,안길강,배해선,전배수,김현숙,하준,이동석,이재상,서남윤,김준수,김지훈,김태환,김학준,김한슬,박규태,정난희,박종범,박주희,정유진,정주호,조영웅,김건중,홍근택,홍진기,김영훈,강희중,조성희,신희철,안민영,윤경호,강덕중,유희제,김성준,박성준,김민석"
SISFF2025 기억아카이빙 프로젝트: 인생교환,,한국,한국,,,,다큐멘터리,,
SISFF2025 단편경쟁 10,,기타,기타,,,,"드라마,다큐멘터리",,
SISFF2025 단편경쟁 8,,기타,기타,,,,"드라마,다큐멘터리",,
클리프행어 리마스터드,1993-06-12,프랑스,프랑스,캐롤코 필름,판씨네마(주),"15세이상관람가,중학생이상관람가","스릴러,액션,드라마",레니 할린,"실베스터 스탤론,존 리스고,마이클 루커"
